policy,policy_index,selection_label,welfare_lens,run_name,seed,scenario,scenario_index,climate_ensemble_index,years_above_1p5C,years_above_2C,ever_above_1p5C,ever_above_2C,max_global_temperature,temperature_2100
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_367,18,367,284.0,284.0,True,True,11.812158841371856,11.246816762549134
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_388,19,388,284.0,284.0,True,True,11.814808725416633,11.249368769195828
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_408,20,408,284.0,284.0,True,True,11.817443622291455,11.251906924202935
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_429,21,429,284.0,284.0,True,True,11.820062471271763,11.254429976474688
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_449,22,449,284.0,284.0,True,True,11.822664658258322,11.256937185792049
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_469,23,469,284.0,284.0,True,True,11.825249875234967,11.259428155064699
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_490,24,490,284.0,284.0,True,True,11.82781797556451,11.261902689172382
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_510,25,510,284.0,284.0,True,True,11.830368934207677,11.264360724333605
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_531,26,531,284.0,284.0,True,True,11.832902803739989,11.266802286377315
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_551,27,551,284.0,284.0,True,True,11.83541968538285,11.269227457649485
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_571,28,571,284.0,284.0,True,True,11.83791971017388,11.271636355464036
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_592,29,592,284.0,284.0,True,True,11.840403077476447,11.27402912729482
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_612,30,612,284.0,284.0,True,True,11.84286991548103,11.276405939813182
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_633,31,633,284.0,284.0,True,True,11.845320365109101,11.278766928950107
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_653,32,653,284.0,284.0,True,True,11.847754593380897,11.281112248668215
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_673,33,673,284.0,284.0,True,True,11.8501727711682,11.283442063495421
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_694,34,694,284.0,284.0,True,True,11.852575057634665,11.28575653083537
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_714,35,714,284.0,284.0,True,True,11.854961612436071,11.288055805008977
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_734,36,734,284.0,284.0,True,True,11.857332590082416,11.290340037029344
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_755,37,755,284.0,284.0,True,True,11.859688142509798,11.292609374610674
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_775,38,775,284.0,284.0,True,True,11.862028418781204,11.294863962764678
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_796,39,796,284.0,284.0,True,True,11.86435356631182,11.297103944554546
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_816,40,816,284.0,284.0,True,True,11.866663742036366,11.299329469246098
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_836,41,836,284.0,284.0,True,True,11.86895908007685,11.301540673053157
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_857,42,857,284.0,284.0,True,True,11.871239712881176,11.303737684269171
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_877,43,877,284.0,284.0,True,True,11.873505771082135,11.305920629542843
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_898,44,898,284.0,284.0,True,True,11.875757381119385,11.30808963208383
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_918,45,918,284.0,284.0,True,True,11.87799465799146,11.31024480589541
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_938,46,938,284.0,284.0,True,True,11.88021771921367,11.312386263348293
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_959,47,959,284.0,284.0,True,True,11.882426675028405,11.314514112373425
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_979,48,979,284.0,284.0,True,True,11.884621613214888,11.316628442571869
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_1000,49,1000,284.0,284.0,True,True,11.886802476649507,11.31872923223104
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_1,0,1,284.0,284.0,True,True,11.965145657700184,11.331735086376707
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_21,1,21,284.0,284.0,True,True,12.018299330958433,11.390740808981208
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_41,2,41,284.0,284.0,True,True,12.053985047284408,11.428200304095341
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_62,3,62,284.0,284.0,True,True,12.074993522739488,11.451886759337
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_82,4,82,284.0,284.0,True,True,12.087238000424254,11.46564877684938
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_102,5,102,284.0,284.0,True,True,12.094621175946584,11.47382738287527
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_123,6,123,284.0,284.0,True,True,12.099410581429577,11.479004090551106
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_143,7,143,284.0,284.0,True,True,12.10284308395913,11.482604759316215
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_164,8,164,284.0,284.0,True,True,12.105570970773893,11.48538635807357
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_184,9,184,284.0,284.0,True,True,12.107932261402144,11.487742497074622
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_204,10,204,284.0,284.0,True,True,12.110100559245145,11.489875679293455
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_225,11,225,284.0,284.0,True,True,12.11216463384495,11.4918895350656
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_245,12,245,284.0,284.0,True,True,12.114170140514911,11.493837045426837
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_266,13,266,284.0,284.0,True,True,12.116140484093838,11.49574541674825
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_286,14,286,284.0,284.0,True,True,12.118087151651006,11.497628523022456
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_306,15,306,284.0,284.0,True,True,12.120016025307592,11.499493217820715
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_327,16,327,284.0,284.0,True,True,12.1219301700697,11.501343039448695
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_347,17,347,284.0,284.0,True,True,12.12383118818809,11.503179842923126
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_367,18,367,284.0,284.0,True,True,12.125719908097926,11.505004603093253
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_388,19,388,284.0,284.0,True,True,12.127596792444898,11.50681784336693
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_408,20,408,284.0,284.0,True,True,12.129462117524785,11.50861986975618
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_429,21,429,284.0,284.0,True,True,12.131316066483679,11.510410878123457
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_449,22,449,284.0,284.0,True,True,12.133158781568865,11.512191010897691
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_469,23,469,284.0,284.0,True,True,12.134990364374545,11.513960379171976
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_490,24,490,284.0,284.0,True,True,12.136810905620525,11.515719072865002
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_510,25,510,284.0,284.0,True,True,12.138620490170341,11.517467175242862
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_531,26,531,284.0,284.0,True,True,12.14041919944766,11.519204765737333
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_551,27,551,284.0,284.0,True,True,12.142207112866151,11.520931921537011
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_571,28,571,284.0,284.0,True,True,12.143984308352755,11.522648718280035
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_592,29,592,284.0,284.0,True,True,12.145750863007164,11.524355230652166
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_612,30,612,284.0,284.0,True,True,12.147506852838552,11.526051532344843
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_633,31,633,284.0,284.0,True,True,12.149252351445563,11.5277376949959
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_653,32,653,284.0,284.0,True,True,12.150987451080466,11.529413797250733
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_673,33,673,284.0,284.0,True,True,12.15271237205329,11.53107997779147
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_694,34,694,284.0,284.0,True,True,12.154427120010281,11.53273633533007
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_714,35,714,284.0,284.0,True,True,12.153163612443885,11.533599309920454
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_734,36,734,284.0,284.0,True,True,12.153308964496944,11.533422950724825
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_755,37,755,284.0,284.0,True,True,12.154202889715346,11.534125312658537
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_775,38,775,284.0,284.0,True,True,12.15547339718799,11.535270149521484
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_796,39,796,284.0,284.0,True,True,12.156931615520762,11.536636397874155
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_816,40,816,284.0,284.0,True,True,12.158481183334843,11.538111377013982
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_836,41,836,284.0,284.0,True,True,12.160072828265122,11.53963749252791
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_857,42,857,284.0,284.0,True,True,12.16168133943137,11.541185276429255
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_877,43,877,284.0,284.0,True,True,12.1632938192538,11.542739651006409
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_898,44,898,284.0,284.0,True,True,12.16490368119987,11.544292911122021
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_918,45,918,284.0,284.0,True,True,12.166507585773743,11.54584114001185
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_938,46,938,284.0,284.0,True,True,12.16810385079738,11.547382360098856
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_959,47,959,284.0,284.0,True,True,12.169691643766813,11.548915586391692
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_979,48,979,284.0,284.0,True,True,12.171270567631106,11.550440342670674
P2,2,D_low_damage_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_9845531,9845531,FAIR_1000,49,1000,284.0,284.0,True,True,12.172840448359826,11.551956413345929
P3,3,E_best_utilitarian_threshold,UTILITARIAN,UTILITARIAN_50000_4567890,4567890,FAIR_1,0,1,284.0,284.0,True,True,12.175787926968638,11.557460271345054
