delta,eta,rho,ecr_plateau,scenario,policy,model
1.5,0.5,0.010666666666666668,0.4,707,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.03,0.4,708,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.010666666666666668,0.4,709,moderate_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.010666666666666668,0.4,710,moderate_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.010666666666666668,0.4,711,moderate_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.02033333333333333,0.4,712,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,1.5,0.02033333333333333,0.4,713,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,1.5,0.001,0.4,714,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.001,0.4,715,moderate_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.010666666666666668,0.4,716,moderate_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.010666666666666668,0.4,717,moderate_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.010666666666666668,0.4,718,moderate_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.03,0.4,719,moderate_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.03,0.4,720,moderate_abatement,JUSTICE_A2_morris_traceable
1.0,1.1666666666666665,0.03,0.4,721,moderate_abatement,JUSTICE_A2_morris_traceable
1.0,1.1666666666666665,0.010666666666666668,0.4,722,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.010666666666666668,0.4,723,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.02033333333333333,0.4,724,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.001,0.4,725,moderate_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.001,0.4,726,moderate_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.001,0.4,727,moderate_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.010666666666666668,0.4,728,moderate_abatement,JUSTICE_A2_morris_traceable
