ssp_scenario,ecs_percentile,eta,delta,ecr_plateau,scenario,policy,model
3,10.620543678685399,0.8148394885902339,1.1659146579721096,0.2,37,low_abatement,JUSTICE_A3_1p5_extension
1,78.50449709664811,0.8485488773344271,1.2375887596382427,0.2,38,low_abatement,JUSTICE_A3_1p5_extension
4,89.71954640622478,2.1911750849627847,0.8420517752582843,0.2,39,low_abatement,JUSTICE_A3_1p5_extension
3,54.57743180591221,2.2407057501920185,1.203413662940016,0.2,40,low_abatement,JUSTICE_A3_1p5_extension
0,84.71585665159607,2.471051039502081,1.145681124456577,0.2,41,low_abatement,JUSTICE_A3_1p5_extension
7,73.59678119903892,0.5576900691070431,1.772752736512031,0.2,42,low_abatement,JUSTICE_A3_1p5_extension
4,5.087099941936507,0.9310267041827545,1.911643510529891,0.2,43,low_abatement,JUSTICE_A3_1p5_extension
1,42.85483741977462,0.6329808026686499,0.8800344886843928,0.2,44,low_abatement,JUSTICE_A3_1p5_extension
0,32.48751776238172,1.734894414136612,1.2321845669475007,0.2,45,low_abatement,JUSTICE_A3_1p5_extension
7,27.15838253151139,1.5194033889703369,0.8502761338545786,0.2,46,low_abatement,JUSTICE_A3_1p5_extension
1,30.689929368205902,1.3806308422351425,1.670652021671807,0.2,47,low_abatement,JUSTICE_A3_1p5_extension
5,54.313436671439405,0.7354329100963896,1.070444733574969,0.2,48,low_abatement,JUSTICE_A3_1p5_extension
3,46.09940213979801,0.582411408212893,1.327849585172558,0.2,49,low_abatement,JUSTICE_A3_1p5_extension
5,6.5263047130884235,0.9540536342891783,0.6015896199598131,0.2,50,low_abatement,JUSTICE_A3_1p5_extension
3,17.57006393095189,2.2029990367999224,0.802910476343202,0.2,51,low_abatement,JUSTICE_A3_1p5_extension
2,26.71870347448894,1.322017450175553,1.711509390089892,0.2,52,low_abatement,JUSTICE_A3_1p5_extension
5,47.26923445755556,1.109150342811702,1.8916078688816427,0.2,53,low_abatement,JUSTICE_A3_1p5_extension
4,62.71875592451974,0.8857727410576409,0.9844680719911969,0.2,54,low_abatement,JUSTICE_A3_1p5_extension
3,49.042568546251005,1.4016110124448993,1.8504980153865522,0.2,55,low_abatement,JUSTICE_A3_1p5_extension
7,17.390614220581533,1.4135099447804065,0.6954947679061987,0.2,56,low_abatement,JUSTICE_A3_1p5_extension
1,51.64335775956831,2.234286089199677,1.7898529853413436,0.2,57,low_abatement,JUSTICE_A3_1p5_extension
6,55.88836585913328,1.928770250713847,1.5846982588044183,0.2,58,low_abatement,JUSTICE_A3_1p5_extension
4,48.52463874325815,1.812893188766855,1.841523392875072,0.2,59,low_abatement,JUSTICE_A3_1p5_extension
0,48.001725527655616,1.8230373345480357,1.959343042756396,0.2,60,low_abatement,JUSTICE_A3_1p5_extension
2,58.99948475713421,1.8574374638099038,0.8998765960124369,0.2,61,low_abatement,JUSTICE_A3_1p5_extension
6,41.26924087184348,1.8455549567300376,0.5866759972688682,0.2,62,low_abatement,JUSTICE_A3_1p5_extension
1,98.90996331473109,0.755955926189696,1.3459041475593265,0.2,63,low_abatement,JUSTICE_A3_1p5_extension
1,71.48108060906668,1.3932215367721654,1.701224676897071,0.2,64,low_abatement,JUSTICE_A3_1p5_extension
6,18.164693163775258,1.9485551127468357,1.399587400274419,0.2,65,low_abatement,JUSTICE_A3_1p5_extension
