years_above_1p5C,years_above_2C,peak_temp,welfare_loss_damage,policy,success_1p5C_zero_exceedance,success_2C_zero_exceedance
270.0,248.0,4.1254626269668835,770.3158690810512,medium_abatement,False,False
254.0,225.0,2.750939879782025,12009.206426165603,medium_abatement,False,False
264.0,236.0,2.6856694260686123,1995869076.35007,medium_abatement,False,False
265.0,248.0,5.703801723514442,368306547.2906971,medium_abatement,False,False
262.0,246.0,7.178347373068878,33339879.360105455,medium_abatement,False,False
261.0,240.0,3.804663366195626,6914.558877613902,medium_abatement,False,False
274.0,258.0,4.007703737559309,1591.9759627503654,medium_abatement,False,False
264.0,233.0,3.2117218996841976,3629031.4851194974,medium_abatement,False,False
268.0,242.0,3.4064433305926163,30868957.714072198,medium_abatement,False,False
267.0,249.0,3.9758736554165046,1717.6924733506683,medium_abatement,False,False
272.0,261.0,7.596500124684046,764.5320786265277,medium_abatement,False,False
274.0,261.0,6.174972747155998,53318911.886031985,medium_abatement,False,False
268.0,252.0,6.616716638183948,464963.027537316,medium_abatement,False,False
262.0,238.0,3.7219685375073936,595.3247294363335,medium_abatement,False,False
255.0,228.0,2.871044129527527,1098262828.2503734,medium_abatement,False,False
271.0,237.0,3.733211331677023,239.04600215114448,medium_abatement,False,False
268.0,243.0,3.5397274403329195,1612502.5405583244,medium_abatement,False,False
221.0,0.0,1.957416756019341,2796555.7898525805,medium_abatement,False,True
269.0,220.0,2.5375948477384442,73775.84100346432,medium_abatement,False,False
273.0,255.0,5.502122557132799,178016312.29829213,medium_abatement,False,False
269.0,246.0,4.277432160189686,3522.45386243425,medium_abatement,False,False
270.0,256.0,6.217138362490332,183.51985630326757,medium_abatement,False,False
262.0,241.0,3.9883115988933353,192.56856221971088,medium_abatement,False,False
251.0,216.0,3.05357101137762,799.8173529029565,medium_abatement,False,False
271.0,252.0,2.915269675457283,931.9578239041622,medium_abatement,False,False
252.0,124.0,2.17256065243656,7593.885564439648,medium_abatement,False,False
269.0,254.0,5.734623970713861,914431.2973501617,medium_abatement,False,False
263.0,247.0,5.193490207444519,1159.1378417973342,medium_abatement,False,False
278.0,264.0,6.112748189108345,288.26180665064607,medium_abatement,False,False
270.0,254.0,6.617755472282781,15980.336370370967,medium_abatement,False,False
261.0,248.0,7.308705592320204,231509.6265261201,medium_abatement,False,False
267.0,229.0,3.2169759101043596,215323302.0182052,medium_abatement,False,False
262.0,234.0,4.376377028523896,114176.45181128029,medium_abatement,False,False
271.0,259.0,8.007133514458092,700.1088275587606,medium_abatement,False,False
253.0,216.0,2.864329899663662,1071.5516181853384,medium_abatement,False,False
267.0,255.0,8.036727671268535,4781.6151098912105,medium_abatement,False,False
269.0,225.0,2.5762781141287556,832.6948631887352,medium_abatement,False,False
265.0,242.0,3.1936034107085916,145.975790047171,medium_abatement,False,False
270.0,254.0,6.558057120707721,834919.6772371101,medium_abatement,False,False
267.0,255.0,8.499635208915329,664.1684308832127,medium_abatement,False,False
275.0,258.0,4.107191985413104,120.29497435037986,medium_abatement,False,False
253.0,223.0,3.187333480902125,127886458.21904287,medium_abatement,False,False
273.0,257.0,5.640749132307586,722786754.3928928,medium_abatement,False,False
282.0,266.0,6.4818724981706985,428.95391702524887,medium_abatement,False,False
258.0,234.0,4.611811856123909,43.19057609916456,medium_abatement,False,False
269.0,248.0,3.285401886441164,145.80369728604512,medium_abatement,False,False
268.0,241.0,2.9028287045877663,14527816.353600327,medium_abatement,False,False
266.0,219.0,2.3077814487085835,2115192.3539694045,medium_abatement,False,False
266.0,245.0,4.3027131279855775,419875799.5266038,medium_abatement,False,False
275.0,258.0,3.533200679854664,697.2173108836197,medium_abatement,False,False
268.0,252.0,3.853437057923312,1276.9228104308108,medium_abatement,False,False
265.0,244.0,4.851621119516234,6793566.1368224295,medium_abatement,False,False
274.0,254.0,3.8175917826639747,5011268.127977212,medium_abatement,False,False
267.0,235.0,3.2254189108611584,308.95670307620117,medium_abatement,False,False
275.0,220.0,2.6473311844989067,606.5185947810985,medium_abatement,False,False
