welfare_lens,reference_set_row,fraction_above_threshold,welfare_loss_damage,welfare_loss_abatement
PRIORITARIAN,315,0.6,29357.40198647752,127411.90514416964
PRIORITARIAN,316,0.5,32039.744690200023,122641.42797128396
PRIORITARIAN,317,0.6,23968.622859439067,132323.67880439508
PRIORITARIAN,318,0.2,36331.27408225143,13494.67617309263
PRIORITARIAN,319,0.6,26807.26778848193,128351.0328858118
PRIORITARIAN,320,0.2,36190.31616378906,13706.720786486614
PRIORITARIAN,321,0.3,35992.30498950698,14385.196302724711
PRIORITARIAN,322,0.5,34891.708290464405,82809.0278691606
PRIORITARIAN,323,0.4,31858.8400320657,117713.1098098643
PRIORITARIAN,324,0.6,33418.225540506406,96245.4631245328
PRIORITARIAN,325,0.5,34299.356428278064,92365.57595873508
PRIORITARIAN,326,0.2,36019.18611320887,14153.304312907932
PRIORITARIAN,327,0.4,31902.258137185985,116920.9307797327
PRIORITARIAN,328,0.6,23970.06523285916,131887.5397736642
PRIORITARIAN,329,0.4,34965.17726468716,89325.8465016917
PRIORITARIAN,330,0.6,27271.73763105284,128070.83974897455
PRIORITARIAN,331,0.6,29213.65012616093,127882.52021957251
PRIORITARIAN,332,0.6,24891.47404955956,132339.87784297482
PRIORITARIAN,333,0.6,23801.18814799341,132697.19849005493
PRIORITARIAN,334,0.3,34876.86514444887,81807.66800406207
PRIORITARIAN,335,0.3,35989.227647915664,14512.791836482358
PRIORITARIAN,336,0.6,24305.91512512036,133178.15323727013
PRIORITARIAN,337,0.3,35905.66276965768,15419.846274538166
PRIORITARIAN,338,0.3,34965.36629579124,85150.15231923097
PRIORITARIAN,339,0.2,36328.8398607897,13521.444159170536
PRIORITARIAN,340,0.4,35680.803112664,15480.107587418162
PRIORITARIAN,341,0.6,22872.90014727249,134367.6025089091
PRIORITARIAN,342,0.6,23691.559405750653,133623.25295250307
PRIORITARIAN,343,0.2,36491.03619156309,13168.644131486515
PRIORITARIAN,344,0.5,34505.07994453261,91305.82383135204
PRIORITARIAN,345,0.6,22637.38923552467,134573.16442385298
PRIORITARIAN,346,0.6,33051.127529679274,93382.05833363584
PRIORITARIAN,347,0.6,28817.59924149173,127888.57445696232
PRIORITARIAN,348,0.2,36313.07898945366,13610.338205669115
PRIORITARIAN,349,0.6,23842.58138896833,132487.9199459285
PRIORITARIAN,350,0.3,34850.07119355758,85265.60447494817
PRIORITARIAN,351,0.6,32355.283061891783,95748.8312366931
PRIORITARIAN,352,0.2,36062.30923326575,13810.182944363052
PRIORITARIAN,353,0.6,28509.81193752704,128202.87717039784
PRIORITARIAN,354,0.6,29831.61186062365,127206.7170415041
PRIORITARIAN,355,0.6,28936.111018513948,127546.34833408007
PRIORITARIAN,356,0.2,36256.55125595859,14061.922548666444
PRIORITARIAN,357,0.4,34638.76199661162,88111.25592841326
PRIORITARIAN,358,0.6,26561.804900557283,131542.09106347882
PRIORITARIAN,359,0.3,35284.92714363714,44849.85453276447
PRIORITARIAN,360,0.4,34598.18930411573,88189.68503599332
PRIORITARIAN,361,0.3,34897.78891824608,81697.50952871304
PRIORITARIAN,362,0.6,28942.06226396108,127928.42491426672
